1	0	0	13	1	3	1	2	19	5	14	4	11	8	3	3	7	6	0	1000
1	100	100	1	1	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100
0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1000
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	3	3	100	100	100	100	100	100	100	100	100	100	100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1000
100	100	100	100	100	100	100	100	100	100	100	100	100	9	100	100	100	100	100	100
9	9	9	9	9	9	9	9	9	9	9	9	9	10	9	9	9	9	9	1000
9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	1000
11	11	12	11	11	11	11	11	11	11	11	11	100	11	11	11	11	11	11	100
11	11	12	11	11	11	11	11	11	11	11	11	100	11	11	11	11	11	11	100
100	100	100	13	100	100	100	100	100	100	15	100	100	100	100	100	100	100	100	100
0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
100	100	100	15	16	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
0	0	0	18	0	17	0	0	0	0	0	0	0	0	17	0	0	0	0	1000
0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
100	100	100	18	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	3	100	100	100	100	100	100	100	100	100	100	100	100
